"","date","longitude","latitude","longitudeError","latitudeError","behav","instrument_name"
"57112",2013-02-24,170.53614416755,32.3322799624232,2.61009158,1.326445485,0.736213544312454,"172419_2011_1090269"
"5728",2013-02-25,170.459654739537,32.2932448484363,2.60514542,1.350038185,0.757502970285499,"172419_2011_1090269"
"5735",2013-02-26,170.400876701653,32.2692056579885,2.549770455,1.301871705,0.77071137176396,"172419_2011_1090269"
"5745",2013-02-27,170.34755015795,32.2445030115239,2.520241465,1.32662633,0.77537984875888,"172419_2011_1090269"
"5755",2013-02-28,170.295506550831,32.2146516782219,2.52385160499999,1.43491515,0.775046696741071,"172419_2011_1090269"
"5765",2013-03-01,170.246031838303,32.1872422523502,2.49103983000001,1.4866826,0.771686822746713,"172419_2011_1090269"
"5775",2013-03-02,170.190132116318,32.1638155631661,2.46089150500001,1.498304005,0.76450911028638,"172419_2011_1090269"
"5785",2013-03-03,170.103803016082,32.1424775406532,2.45801776500001,1.483468495,0.753204816119262,"172419_2011_1090269"
"5795",2013-03-04,170.008334612794,32.1412341011548,2.601355875,1.512743525,0.739260646027557,"172419_2011_1090269"
"5804",2013-03-05,169.905262696354,32.1379195494424,2.56353665499999,1.565439465,0.7195437035891,"172419_2011_1090269"
"58112",2013-03-06,169.784015004026,32.1347132777382,2.59891872,1.600270335,0.693019250683954,"172419_2011_1090269"
"5828",2013-03-07,169.546924414965,32.147620072376,2.87014721999999,1.785452785,0.66688933886383,"172419_2011_1090269"
"5835",2013-03-08,169.346291315731,32.1532243306975,3.26493431500001,1.95280043,0.646942531349747,"172419_2011_1090269"
"5845",2013-03-09,169.150056406156,32.1641870782217,3.36069786,1.971714115,0.625096695876466,"172419_2011_1090269"
"5855",2013-03-10,168.937726748619,32.1839389513619,3.456381185,1.971721065,0.598408985588998,"172419_2011_1090269"
"5865",2013-03-11,168.686413444347,32.1764699845054,3.47385040499999,1.976358615,0.567629169054844,"172419_2011_1090269"
"5875",2013-03-12,168.395956475249,32.1452082527986,3.79962802,2.80451264,0.545410698346222,"172419_2011_1090269"
"5885",2013-03-13,168.114661361444,32.1455983562238,3.981994505,2.97303239,0.536049448972699,"172419_2011_1090269"
"5895",2013-03-14,167.836002830447,32.1588145936475,3.943557395,3.358767355,0.53402614802718,"172419_2011_1090269"
"5904",2013-03-15,167.551732985925,32.1912461848521,3.91078595499999,3.44854366,0.538316472170186,"172419_2011_1090269"
"59112",2013-03-16,167.273038170052,32.2457047607812,3.85113289499999,3.74614782,0.547910712442039,"172419_2011_1090269"
"5928",2013-03-17,167.040527201777,32.318312931583,3.66132099000001,3.379766705,0.559950264440161,"172419_2011_1090269"
